df (MHz),GB (1/m W)
119.99092,0.425411125
121.85204,0.416779755
124.33195,0.407414752
127.64414,0.400244273
129.37316,0.395268317
132.69789,0.390579435
136.32505,0.385220717
139.95191,0.380263897
143.57966,0.374101371
147.20841,0.366599158
149.32829,0.358025206
152.09309,0.352245443
153.9109,0.34386287
156.28931,0.335652544
158.71243,0.325303515
161.09194,0.315614755
162.99703,0.305854228
165.33371,0.295749209
167.19599,0.285548501
169.05788,0.275883668
171.39516,0.264974843
173.25737,0.254869824
175.11916,0.245338957
177.49946,0.234573666
179.87929,0.224439944
181.78405,0.215138732
184.16326,0.205837526
186.58535,0.19689516
189.10819,0.187796498
191.93205,0.179937042
195.662,0.171675678
198.26368,0.164843311
201.71018,0.158814747
205.33773,0.152920153
208.96459,0.147963338
212.59066,0.144078263
216.21633,0.140729063
219.8418,0.1376478
223.46688,0.135102407
227.09165,0.132958918
230.71683,0.130279559
234.3415,0.128270036
237.96658,0.125724643
241.59175,0.123045283
245.21712,0.120097987
248.84279,0.116748787
252.46856,0.11326562
256.09473,0.109246579
259.7208,0.105361504
263.34736,0.100806592
266.97362,0.096653585
270.60009,0.09223264
274.22645,0.087945661
277.85242,0.084194557
281.47839,0.080443453
285.10396,0.077228219
288.72953,0.074012985
292.3544,0.07173553
295.97958,0.069056171
299.60386,0.067582522
303.22853,0.065572999
306.85252,0.064501255
310.4761,0.063965385
314.10018,0.062759674
317.72437,0.061419992
321.34775,0.061152054
324.97094,0.061152054
328.59413,0.061152054
332.21732,0.061152054
335.84051,0.061152054
339.46369,0.061152054
343.08748,0.060348247
346.71067,0.060348247
350.33425,0.059812377
353.95774,0.059410469
356.07117,0.05954444
