f,S_ML
22800,269.9314933
23000,225.09469
23200,232.7855695
23400,247.0739144
23600,204.638089
23800,183.776713
24000,234.2179867
24200,215.344296
24400,229.3686018
24600,214.3271405
24800,243.0350358
25000,295.3218878
25200,209.2113459
25400,193.5364264
25600,188.0142545
25800,189.081118
26000,172.4553597
26200,154.0242582
26400,172.930206
26600,196.2765975
26800,200.8714913
27000,273.8436845
27200,217.8669284
27400,257.4933395
27600,217.9336206
27800,221.0504361
28000,213.2744502
28200,199.9021873
28400,220.1993043
28600,155.4381074
28800,155.6261989
29000,178.4357098
29200,228.0413789
29400,262.8136077
29600,229.0796975
29800,159.6328645
30000,157.6139386
30200,152.3921366
30400,174.4150231
30600,186.5912288
30800,217.3788423
31000,213.532521
31200,204.3981185
31400,181.9987167
31600,224.1072473
31800,187.6497516
32000,195.0160859
32200,191.8351591
32400,177.0857769
32600,139.0039114
32800,148.4583118
33000,193.3998372
33200,218.4176291
33400,176.5589053
33600,163.8183943
33800,224.4933455
34000,171.4413658
34200,156.8171137
34400,218.5156542
34600,180.4573908
34800,133.4103541
35000,154.0839593
35200,192.6088208
35400,439.8070419
35600,2490.679803
35800,1167.879431
36000,152.9051946
36200,205.4495949
36400,227.3469887
36600,239.2362247
36800,211.6380484
37000,198.5719787
37200,184.2935758
37400,211.9444483
37600,150.921569
37800,170.5946058
38000,231.9621599
38200,221.138581
38400,199.6341231
38600,187.1496231
38800,214.600965
39000,219.6522592
39200,250.7948589
39400,183.9382326
39600,120.9919261
39800,206.9584346
40000,501.9518071
40200,241.1740047
40400,189.1415983
40600,227.9811297
40800,249.7513076
41000,160.4821004
41200,189.2537834
41400,216.1693285
41600,165.3530066
41800,168.4635783
42000,174.4647893
42200,217.2902117
42400,186.9869181
42600,165.8786353
42800,186.5680898
43000,172.4359508
43200,175.7085188
43400,168.3226002
43600,150.1317205
43800,123.3657156
44000,163.7260998
44200,172.0379815
44400,212.129787
44600,171.8678262
44800,179.9001726
45000,181.7724403
45200,178.0230801
45400,157.5510471
45600,153.5320238
45800,173.0846512
46000,183.6535328
46200,202.2266305
46400,257.8838049
46600,214.0486042
46800,147.6086736
47000,157.5601349
47200,185.4266652
47400,153.6809726
47600,177.0108644
47800,190.0353508
48000,170.2178682
48200,201.6128221
48400,204.5529248
48600,174.9062853
48800,156.0989115
49000,233.9255233
49200,205.5146456
49400,186.8114357
49600,193.1634378
49800,139.646074
50000,140.9659919
50200,161.2552039
50400,177.566525
50600,204.8460533
50800,229.2488211
51000,167.4391487
51200,175.0036894
51400,211.9027262
51600,168.3646383
51800,243.2598895
52000,219.3769183
52200,215.6206196
52400,223.1174941
52600,160.2379007
52800,167.6121989
53000,166.5639842
53200,314.7442164
53400,1264.825907
53600,868.652247
53800,214.4494305
54000,206.97167
54200,149.4825829
54400,144.7600242
54600,219.7199653
54800,253.5461327
55000,209.3278853
55200,190.0769848
55400,172.0682816
55600,150.2359121
55800,121.3647485
56000,105.1259161
56200,172.4169107
56400,220.3088306
56600,194.0585238
56800,169.4840241
57000,151.8364403
57200,151.4083491
57400,203.1641152
57600,244.7283533
57800,197.8295979
58000,151.0721962
58200,107.1393505
58400,183.2667221
58600,204.292679
58800,135.4100406
59000,157.9553781
59200,138.3831555
59400,138.9713729
59600,172.3009856
59800,171.8771867
60000,204.5697732
60200,159.8251703
60400,161.9054947
60600,162.8585877
60800,149.3661866
61000,154.9390115
61200,147.5452118
61400,109.5936169
61600,134.999302
61800,133.0166629
62000,143.2504739
62200,188.5034813
62400,212.9773056
62600,132.3021461
62800,150.532557
63000,113.9702289
63200,95.53703823
63400,99.57225839
63600,125.2799135
63800,146.1986893
64000,171.8276338
64200,156.4459864
64400,137.4495029
64600,152.6579355
64800,177.7747822
65000,127.5083381
65200,154.8736693
65400,165.3083633
65600,99.3365441
65800,131.3258013
66000,135.3412074
66200,148.2990077
66400,182.3492385
66600,159.9834392
66800,142.4698625
67000,185.8943819
67200,165.7062766
67400,158.5213701
67600,147.8418403
67800,140.2991923
68000,152.548856
68200,176.7527972
68400,149.1476476
68600,155.6753543
68800,144.9616241
69000,123.0972054
69200,129.9667261
69400,137.7643521
69600,139.7304379
69800,170.7059837
70000,187.1454917
70200,157.9166207
70400,143.6506042
70600,123.556052
70800,120.7189814
71000,166.003125
71200,514.2077788
71400,494.723735
71600,171.0002398
71800,153.2415226
72000,175.5553451
72200,160.397539
72400,142.6127254
72600,174.5565212
72800,163.3212177
73000,137.6807248
73200,109.7929896
73400,176.4066894
73600,184.863507
73800,167.1880032
74000,162.7059181
74200,157.7866597
74400,138.0831103
74600,115.7973777
74800,126.18631
75000,126.4217791
75200,129.9964142
75400,136.9286595
75600,136.5153185
75800,181.9000322
76000,205.2521839
76200,161.4169742
76400,163.9935592
76600,147.2417219
76800,124.9384511
77000,112.5383203
77200,168.1140182
77400,144.6127705
77600,123.7169023
77800,137.9131509
78000,122.5649375
78200,131.7065405
78400,179.5950561
78600,190.5840716
78800,144.1836585
79000,110.3882653
79200,142.2490353
79400,123.6810894
79600,124.0905768
79800,125.999076
80000,140.2752194
80200,134.1325089
80400,144.5287725
80600,181.2395794
80800,160.7890697
81000,180.4165555
81200,166.5138612
81400,170.6492582
81600,140.4779872
81800,169.3799433
82000,186.5662595
82200,155.3656798
82400,182.1382641
82600,130.9251308
82800,138.5898256
83000,134.6651397
83200,110.183755
83400,113.3113625
83600,160.3127466
83800,155.5443735
84000,137.7474744
84200,132.5040189
84400,115.9436433
84600,134.9015813
84800,154.2845947
85000,197.7713723
85200,182.7961055
85400,148.479099
85600,203.8427801
85800,158.0946625
86000,132.2641224
86200,150.9508333
86400,163.3500756
86600,189.3633871
86800,170.6504339
87000,182.9468328
87200,151.9086323
87400,99.72413052
87600,113.9385456
87800,145.1184273
88000,160.1806894
88200,146.5232053
88400,132.4983094
88600,138.6433481
88800,199.4029799
89000,353.0823265
89200,328.3745914
89400,166.0538927
89600,158.3388852
89800,147.019893
90000,155.0477466
90200,117.3673006
90400,150.9507104
90600,138.8618076
90800,151.3557876
91000,190.0194704
91200,168.5666761
91400,145.0734009
91600,148.0215323
91800,106.5545637
92000,92.70833962
92200,112.980169
92400,179.8045796
92600,168.615471
92800,118.808692
93000,129.2737619
93200,143.8609056
93400,152.5900373
93600,150.702754
93800,160.9982099
94000,160.8801777
94200,171.5221364
94400,155.4347163
94600,163.8929451
94800,206.3255302
95000,150.0246254
95200,141.6122848
95400,153.5734366
95600,171.8027813
95800,146.2602887
96000,110.1017689
96200,132.7588575
96400,145.5570102
96600,148.7022695
96800,147.5810228
97000,153.9973035
97200,174.3775976
97400,103.9825819
97600,104.2913368
97800,106.8490621
98000,142.4574015
98200,169.0719237
98400,156.1383699
98600,158.969708
98800,136.2847742
99000,182.868581
99200,189.5109331
99400,147.9385203
99600,156.5577264
99800,161.3230217
100000,155.0768105
100000,147.0942055
102000,145.8199463
104000,167.5594848
106000,180.2007153
108000,132.1631663
110000,146.2863641
112000,167.9195863
114000,106.0143085
116000,96.44355584
118000,168.7636907
120000,149.7659761
122000,132.252852
124000,137.5568678
126000,124.4023245
128000,130.3840377
130000,152.2106985
132000,139.9311556
134000,142.6755236
136000,126.5046366
138000,149.6429127
140000,192.2613248
142000,210.2123597
144000,185.3157293
146000,113.567237
148000,154.2453961
150000,138.1424821
152000,171.0057582
154000,178.0868364
156000,146.3644833
158000,178.5773058
160000,161.4256645
162000,129.8540016
164000,162.9932249
166000,162.029274
168000,144.5164382
170000,110.8646423
172000,102.0316353
174000,137.0261282
176000,115.228653
178000,118.651349
180000,148.841708
182000,165.1403363
184000,144.5003058
186000,181.46415
188000,152.5634801
190000,150.3564723
192000,112.860877
194000,109.4565198
196000,106.9245753
198000,117.6487533
200000,141.3331748
202000,139.1204445
204000,129.437699
206000,116.6254421
208000,125.7432775
210000,115.167861
212000,118.1625742
214000,116.3599731
216000,91.47417031
218000,132.5821673
220000,150.5356243
222000,140.359086
224000,130.1012844
226000,127.2690834
228000,150.8966806
230000,165.9342789
232000,136.6285597
234000,143.1959495
236000,165.3065376
238000,127.7142962
240000,138.9520638
242000,116.4676093
244000,121.9377117
246000,171.6326113
248000,169.9688967
250000,165.8011362
252000,132.3307883
254000,150.3294972
256000,149.9802893
258000,137.1549459
260000,86.45603973
262000,85.87376758
264000,135.579988
266000,121.5112469
268000,127.7502813
270000,168.1249616
272000,205.8201111
274000,179.2155709
276000,122.8778458
278000,156.0555855
280000,130.3048961
282000,141.4198305
284000,153.1212711
286000,140.703438
288000,144.1193287
290000,119.244893
292000,104.4244253
294000,97.97464039
296000,142.4908708
298000,128.4348944
300000,128.703466
302000,105.0244349
304000,85.36739934
306000,112.724766
308000,118.8009096
310000,164.2423203
312000,157.2874163
314000,97.13125476
316000,114.0525105
318000,140.5465021
320000,144.5438004
322000,134.155117
324000,143.0606888
326000,127.6151598
328000,151.5605979
330000,143.8255489
332000,112.7467234
334000,137.5675409
336000,137.7014943
338000,121.7128348
340000,152.5516968
342000,128.7155371
344000,119.2856279
346000,120.5980643
348000,122.0285867
350000,135.1033578
352000,117.745004
354000,148.2139214
356000,139.4770684
358000,119.6721789
360000,106.8470981
362000,153.4674745
364000,165.3130948
366000,112.8412666
368000,118.8634814
370000,130.2215334
372000,135.8602612
374000,138.6955149
376000,161.8891572
378000,129.7226237
380000,143.3619963
382000,182.9956371
384000,115.0891258
386000,124.4969248
388000,136.0279483
390000,141.9324353
392000,138.0646385
394000,137.5910701
396000,132.4998979
398000,107.7160022
400000,128.5260725
402000,108.3986867
404000,100.0216012
406000,122.5925721
408000,139.3620859
410000,161.7441665
412000,144.2601814
414000,107.2127089
416000,95.89317376
418000,100.8270028
420000,96.16295093
422000,103.3780156
424000,120.4832669
426000,108.1578992
428000,111.0228055
430000,119.9124866
432000,122.322671
434000,142.4711994
436000,120.8559429
438000,107.0893205
440000,115.8271659
442000,150.2672673
444000,126.5524202
446000,136.213128
448000,120.7700553
450000,101.175957
452000,108.8811276
454000,137.7957395
456000,106.9734498
458000,124.0279133
460000,173.5652106
462000,173.11828
464000,175.535842
466000,185.4024819
468000,169.003146
470000,108.5838192
472000,96.2112823
474000,118.9320023
476000,128.1242434
478000,122.4307949
480000,129.8177669
482000,124.6102248
484000,118.985053
486000,102.3783355
488000,96.60047373
490000,100.1042472
492000,105.5948401
494000,101.7338511
496000,92.91007039
498000,91.75463553
500000,98.86143938
502000,123.6539997
504000,124.0235255
506000,140.9264104
508000,126.9058576
510000,136.2053319
512000,126.3712098
514000,118.9410541
516000,124.1529663
518000,94.23116851
520000,109.0434671
522000,120.8090934
524000,126.9772442
526000,110.425714
528000,147.7200563
530000,119.8735281
532000,130.7700656
534000,104.3697821
536000,92.34977439
538000,111.3949372
540000,101.6697929
542000,104.0381028
544000,92.4821306
546000,106.3935725
548000,118.5900745
550000,120.6128023
552000,139.3063947
554000,121.9943003
556000,146.6369871
558000,103.1568079
560000,81.90002032
562000,121.9133973
564000,116.5702856
566000,100.2508171
568000,99.4962161
570000,113.6184167
572000,80.2031475
574000,100.6541062
576000,123.9123627
578000,89.55734015
580000,130.5311734
582000,180.5793602
584000,140.7400223
586000,113.5099534
588000,109.121632
590000,102.712063
592000,124.1535012
594000,151.0684352
596000,116.092393
598000,110.503006
600000,116.5222449
602000,118.3875869
604000,153.625192
606000,175.7803711
608000,152.7607009
610000,130.5798942
612000,128.7640087
614000,149.146695
616000,111.2330285
618000,98.34312058
620000,126.1146743
622000,113.4666379
624000,127.0638681
626000,131.942439
628000,113.579514
630000,112.8471304
632000,130.9062976
634000,110.778551
636000,92.61094388
638000,107.004108
640000,92.039828
642000,105.2698162
644000,133.9839355
646000,137.8935632
648000,106.1523035
650000,84.83587079
652000,100.4671443
654000,119.0763053
656000,122.3551009
658000,135.9438936
660000,173.6662994
662000,129.3383053
664000,128.7129277
666000,157.0968945
668000,116.1024783
670000,118.8317356
672000,136.8995708
674000,105.511868
676000,115.2339129
678000,153.1138714
680000,119.5103294
682000,83.82887507
684000,97.17752207
686000,111.8269449
688000,148.5469296
690000,141.3849891
692000,124.57464
694000,140.4772997
696000,121.5745725
698000,124.6758936
700000,114.1416807
702000,92.79241563
704000,98.9280681
706000,152.6136813
708000,136.7989423
710000,129.003528
712000,126.8387931
714000,77.89063287
716000,111.8529817
718000,126.0063274
720000,122.6332324
722000,122.4935849
724000,164.2601859
726000,145.0299712
728000,89.30730066
730000,108.471371
732000,139.9724427
734000,129.5659048
736000,114.0031978
738000,106.0373117
740000,117.096941
742000,126.1920165
744000,118.8455367
746000,119.4087264
748000,144.4732362
750000,166.9019046
752000,115.7244732
754000,115.0683359
756000,112.9759174
758000,104.4635057
760000,119.6412441
762000,103.7740318
764000,113.6133004
766000,135.7511372
768000,155.5222494
770000,106.6427569
772000,73.71118801
774000,114.5633281
776000,100.291392
778000,138.6054127
780000,157.3541438
782000,145.7859434
784000,139.8640208
786000,117.5701285
788000,100.3981155
790000,106.8521425
792000,112.3067943
794000,117.8007849
796000,117.1898481
798000,110.3221048
800000,91.45571231
802000,72.33320494
804000,84.75387908
806000,99.04035342
808000,109.0093859
810000,108.9537437
812000,100.9177159
814000,120.6216323
816000,123.8001817
818000,101.8860501
820000,119.5077276
822000,112.6836812
824000,108.9788592
826000,132.1360136
828000,141.6316588
830000,89.03115124
832000,102.5955268
834000,102.6105587
836000,92.25710076
838000,81.9231534
840000,112.5020849
842000,107.5639467
844000,150.0271731
846000,132.4148694
848000,117.7385368
850000,102.8161727
852000,109.6271402
854000,141.3579037
856000,134.1922532
858000,134.8451629
860000,111.5426841
862000,87.4232106
864000,112.3677381
866000,140.7089182
868000,134.6324634
870000,111.9617934
872000,168.2115358
874000,123.244146
876000,132.6339873
878000,117.4263946
880000,138.443486
882000,143.0023021
884000,134.8749385
886000,112.4607862
888000,140.2053261
890000,130.634156
892000,97.7562888
894000,112.940568
896000,122.1649626
898000,111.5163456
900000,125.6148257
902000,98.36341142
904000,93.59051326
906000,128.4567679
908000,112.4344879
910000,108.8312976
912000,97.53991901
914000,133.5725702
916000,174.4989481
918000,127.8138328
920000,125.2295284
922000,133.4526779
924000,128.5395638
926000,109.4549505
928000,88.98113055
930000,97.93885172
932000,105.062746
934000,111.5953916
936000,114.2903395
938000,115.2080008
940000,116.9574982
942000,102.0879869
944000,113.0762775
946000,128.7303318
948000,125.1210254
950000,114.8958462
952000,114.2980156
954000,124.3984208
956000,166.6671963
958000,107.0143698
960000,105.1501558
962000,108.4255708
964000,118.2717586
966000,109.1781529
968000,98.85700489
970000,108.6780605
972000,97.94073204
974000,111.8946341
976000,119.3815624
978000,146.2929438
980000,124.5574076
982000,116.5098099
984000,117.8930803
986000,75.02170351
988000,87.46226072
990000,124.3192219
992000,152.865949
994000,132.6937656
996000,135.5185852
998000,157.0487181
1000000,147.0550824
1000000,103.3240129
1003333.333,146.141745
1006666.667,143.8961707
1010000,110.3636183
1013333.333,126.638899
1016666.667,122.2342957
1020000,146.6002011
1023333.333,122.652369
1026666.667,104.2239873
1030000,104.9536117
1033333.333,135.8742021
1036666.667,85.57232378
1040000,106.3730471
1043333.333,131.6619013
1046666.667,120.7800341
1050000,117.5507638
1053333.333,109.9252435
1056666.667,111.610752
1060000,133.0243211
1063333.333,105.1538063
1066666.667,101.1448179
1070000,141.4787734
1073333.333,147.0652689
1076666.667,111.7596146
1080000,103.0512062
1083333.333,104.0458141
1086666.667,111.7730833
1090000,91.71469601
1093333.333,93.80819352
1096666.667,90.09527337
1100000,130.6459973
1103333.333,146.895006
1106666.667,182.649819
1110000,160.0009198
1113333.333,174.0608693
1116666.667,154.1552184
1120000,84.42448936
1123333.333,83.1772637
1126666.667,132.8235044
1130000,100.0881394
1133333.333,83.97534041
1136666.667,119.756756
1140000,92.81002537
1143333.333,111.9786182
1146666.667,108.0568566
1150000,125.4165707
1153333.333,129.7991502
1156666.667,139.3431747
1160000,143.5579717
1163333.333,115.889165
1166666.667,129.6289043
1170000,159.6544703
1173333.333,109.968423
1176666.667,100.2944164
1180000,111.3315355
1183333.333,108.9659149
1186666.667,110.2390803
1190000,142.808021
1193333.333,138.0978228
1196666.667,162.2615609
1200000,139.7500138
1203333.333,107.3877275
1206666.667,117.9343221
1210000,132.4918865
1213333.333,125.326704
1216666.667,109.1372391
1220000,134.6615656
1223333.333,129.37511
1226666.667,103.4187099
1230000,69.94020388
1233333.333,118.462022
1236666.667,114.8029103
1240000,119.5508252
1243333.333,131.6096291
1246666.667,109.8232318
1250000,91.39958466
1253333.333,74.3752388
1256666.667,71.19186188
1260000,104.0622372
1263333.333,119.0494846
1266666.667,119.3995694
1270000,124.3603683
1273333.333,143.4009603
1276666.667,136.0063724
1280000,150.7215861
1283333.333,159.5024769
1286666.667,121.6973458
1290000,114.5598817
1293333.333,120.1880926
1296666.667,130.1057556
1300000,119.714781
1303333.333,146.3529904
1306666.667,127.9008093
1310000,90.71672887
1313333.333,104.4233216
1316666.667,91.10000002
1320000,69.94552286
1323333.333,96.12790651
1326666.667,110.5093764
1330000,110.4970352
1333333.333,136.3145448
1336666.667,173.5308271
1340000,161.9186772
1343333.333,135.9259153
1346666.667,114.3461944
1350000,101.0178771
1353333.333,101.7632045
1356666.667,106.3810507
1360000,116.3514299
1363333.333,112.3711515
1366666.667,105.9678566
1370000,127.5316231
1373333.333,148.5800828
1376666.667,129.8637106
1380000,150.7161352
1383333.333,124.6279521
1386666.667,113.5673649
1390000,110.1818655
1393333.333,100.6149425
1396666.667,116.0837304
1400000,127.600113
1403333.333,144.8572561
1406666.667,165.6043148
1410000,122.6868142
1413333.333,78.55340714
1416666.667,117.1466586
1420000,155.3025905
1423333.333,88.32227243
1426666.667,99.23875428
1430000,102.7461792
1433333.333,99.0465635
1436666.667,111.7496986
1440000,126.2419882
1443333.333,102.208238
1446666.667,112.5668799
1450000,101.21195
1453333.333,105.9239672
1456666.667,101.3424555
1460000,84.28365506
1463333.333,76.4148013
1466666.667,88.95321111
1470000,107.9358714
1473333.333,94.1666456
1476666.667,136.1410572
1480000,128.6486767
1483333.333,115.9166825
1486666.667,92.40730809
1490000,120.5689426
1493333.333,115.4889817
1496666.667,123.1814081
1500000,132.1759734
1503333.333,120.4842767
1506666.667,94.0912416
1510000,100.7638933
1513333.333,109.5339116
1516666.667,104.0035688
1520000,117.1234976
1523333.333,156.6341859
1526666.667,128.300929
1530000,104.6313976
1533333.333,100.8623913
1536666.667,116.3785922
1540000,125.7563977
1543333.333,120.9734695
1546666.667,137.5103801
1550000,127.7297565
1553333.333,123.5203292
1556666.667,109.1411671
1560000,122.1717049
1563333.333,128.1940018
1566666.667,102.442738
1570000,110.1089671
1573333.333,126.633745
1576666.667,151.3648425
1580000,144.0098402
1583333.333,109.6613389
1586666.667,77.85432872
1590000,95.67107138
1593333.333,129.0909764
1596666.667,169.9037951
1600000,109.199156
1603333.333,88.04416074
1606666.667,130.2182013
1610000,133.2682766
1613333.333,123.749828
1616666.667,151.2860394
1620000,118.5844553
1623333.333,103.1534766
1626666.667,96.44306481
1630000,81.33018581
1633333.333,84.60531955
1636666.667,114.0352317
1640000,141.0661933
1643333.333,148.4030975
1646666.667,122.0452898
1650000,101.1751724
1653333.333,81.04084715
1656666.667,110.971034
1660000,108.688715
1663333.333,83.06426688
1666666.667,91.61768975
1670000,130.3854308
1673333.333,177.8286792
1676666.667,117.67982
1680000,99.14306376
1683333.333,101.444338
1686666.667,101.2818417
1690000,115.7627517
1693333.333,104.079539
1696666.667,107.651602
1700000,113.4557517
1703333.333,122.8590241
1706666.667,124.6231741
1710000,100.875749
1713333.333,98.3883861
1716666.667,130.3561322
1720000,139.0544243
1723333.333,96.88210952
1726666.667,112.5947853
1730000,115.4412503
1733333.333,86.17340206
1736666.667,92.10960689
1740000,125.5328204
1743333.333,130.2841671
1746666.667,125.0509453
1750000,95.26249958
1753333.333,116.4628825
1756666.667,102.6436652
1760000,135.5298075
1763333.333,145.8785671
1766666.667,118.457146
1770000,83.75595574
1773333.333,104.9512964
1776666.667,82.09231595
1780000,118.3511615
1783333.333,160.3489604
1786666.667,139.5442756
1790000,132.0051634
1793333.333,92.95117557
1796666.667,97.92582848
1800000,114.6919766
1803333.333,84.9755431
1806666.667,105.1384662
1810000,115.511873
1813333.333,100.6332995
1816666.667,96.81284778
1820000,100.118295
1823333.333,99.3591899
1826666.667,105.8381704
1830000,127.2485748
1833333.333,103.3210448
1836666.667,97.80228937
1840000,107.2716126
1843333.333,112.2837142
1846666.667,135.9402326
1850000,163.7081865
1853333.333,133.0364317
1856666.667,120.3815802
1860000,118.8498101
1863333.333,82.46948298
1866666.667,126.5798031
1870000,118.404039
1873333.333,96.15596899
1876666.667,129.3764066
1880000,146.8802442
1883333.333,123.5236189
1886666.667,108.4795573
1890000,111.3110035
1893333.333,143.3327827
1896666.667,110.0378132
1900000,84.79993468
1903333.333,109.0452424
1906666.667,112.5751769
1910000,122.0535313
1913333.333,141.4153829
1916666.667,100.2549823
1920000,106.7813876
1923333.333,99.6348739
1926666.667,86.52740864
1930000,107.6627249
1933333.333,111.9498582
1936666.667,83.67898825
1940000,105.1013921
1943333.333,122.1063454
1946666.667,111.5779408
1950000,123.4143024
1953333.333,120.0504144
1956666.667,115.9426957
1960000,99.07252058
1963333.333,129.4867844
1966666.667,170.2577936
1970000,124.7973181
1973333.333,110.7567861
1976666.667,98.90859428
1980000,91.76346746
1983333.333,110.1329351
1986666.667,108.8009419
1990000,97.67459824
1993333.333,96.30984608
1996666.667,101.7170682
2000000,120.9183718
2003333.333,150.0398874
2006666.667,128.942293
2010000,115.1246166
2013333.333,89.09132299
2016666.667,105.55935
2020000,107.0353914
2023333.333,109.6731934
2026666.667,105.4274088
2030000,92.86355846
2033333.333,95.47462972
2036666.667,107.2893862
2040000,111.8559641
2043333.333,120.0161879
2046666.667,100.4695098
2050000,95.84084975
2053333.333,125.5100994
2056666.667,112.417841
2060000,123.109277
2063333.333,127.8569329
2066666.667,134.1616497
2070000,114.970162
2073333.333,73.99022349
2076666.667,98.77972556
2080000,138.9139683
2083333.333,153.4935651
2086666.667,127.5570562
2090000,97.71781169
2093333.333,108.4284864
2096666.667,111.5311725
2100000,135.6892296
2103333.333,128.2149488
2106666.667,123.7438655
2110000,124.030653
2113333.333,109.117955
2116666.667,114.7889175
2120000,133.4570447
2123333.333,117.0596977
2126666.667,150.8600765
2130000,137.6402229
2133333.333,132.3960443
2136666.667,138.2720349
2140000,146.2758659
2143333.333,143.3796216
2146666.667,129.7611006
2150000,117.8947742
2153333.333,97.2091684
2156666.667,97.93681307
2160000,124.4854102
2163333.333,121.6635252
2166666.667,93.31784113
2170000,112.2143185
2173333.333,96.96630404
2176666.667,106.4378066
2180000,124.3242617
2183333.333,126.8786196
2186666.667,139.4651642
2190000,100.1492757
2193333.333,97.56147014
2196666.667,97.2459477
2200000,119.1213551
2203333.333,138.3250022
2206666.667,159.0076613
2210000,118.9244121
2213333.333,102.2539597
2216666.667,118.0952317
2220000,128.608165
2223333.333,112.6446629
2226666.667,104.6196756
2230000,124.5434796
2233333.333,124.7473652
2236666.667,118.3809063
2240000,95.84930835
2243333.333,88.65024676
2246666.667,104.7824723
2250000,125.9948779
2253333.333,119.2506152
2256666.667,126.6597187
2260000,146.1036674
2263333.333,142.4056776
2266666.667,86.58762173
2270000,110.9684005
2273333.333,100.1275406
2276666.667,102.8018355
2280000,108.904565
2283333.333,86.34319675
2286666.667,117.0427118
2290000,114.0604349
2293333.333,65.72304365
2296666.667,76.00157118
2300000,102.0200396
2303333.333,127.4981303
2306666.667,181.7919901
2310000,135.806929
2313333.333,108.0642788
2316666.667,137.1164886
2320000,131.8411465
2323333.333,114.1041413
2326666.667,112.96582
2330000,102.1397454
2333333.333,104.3483906
2336666.667,109.046934
2340000,96.2189725
2343333.333,77.88166635
2346666.667,99.60022036
2350000,142.5268749
2353333.333,137.8229275
2356666.667,121.1914977
2360000,94.88597053
2363333.333,99.93974908
2366666.667,109.1176625
2370000,122.2144622
2373333.333,121.1023216
2376666.667,123.4921013
2380000,95.94345508
2383333.333,87.7045361
2386666.667,106.2497101
2390000,94.74639522
2393333.333,100.579096
2396666.667,115.9253173
2400000,87.52530541
2403333.333,113.4348543
2406666.667,112.7909633
2410000,92.90750643
2413333.333,88.59479858
2416666.667,129.3669206
2420000,108.1101066
2423333.333,102.4166264
2426666.667,127.8319674
2430000,103.8042689
2433333.333,125.4355872
2436666.667,144.4689331
2440000,119.7965055
2443333.333,128.7038064
2446666.667,172.6472223
2450000,138.0872701
2453333.333,111.7117724
2456666.667,105.9719948
2460000,127.8383895
2463333.333,108.0853825
2466666.667,118.7389426
2470000,135.8413793
2473333.333,109.8312803
2476666.667,95.573363
2480000,100.6654634
2483333.333,90.54987869
2486666.667,117.7202215
2490000,124.7411329
2493333.333,109.6242295
2496666.667,138.2271431
2500000,99.54647538
2503333.333,116.7818255
2506666.667,121.9955815
2510000,121.8893502
2513333.333,93.00106541
2516666.667,95.61687188
2520000,124.2815606
2523333.333,137.991868
2526666.667,130.425993
2530000,105.40517
2533333.333,91.19449728
2536666.667,132.7604476
2540000,134.7559953
2543333.333,93.34780922
2546666.667,84.56948749
2550000,81.14101932
2553333.333,85.20093029
2556666.667,120.6037749
2560000,120.6878895
2563333.333,109.4370402
2566666.667,102.644111
2570000,108.0096683
2573333.333,138.2264612
2576666.667,139.7795457
2580000,106.7234451
2583333.333,114.4459416
2586666.667,135.3797174
2590000,129.7740186
2593333.333,108.6052862
2596666.667,125.4360576
2600000,142.0127678
2603333.333,131.9537191
2606666.667,136.2609134
2610000,117.4261779
2613333.333,83.94851092
2616666.667,99.83053186
2620000,99.38135976
2623333.333,98.33403699
2626666.667,147.5139961
2630000,159.8163209
2633333.333,109.7426371
2636666.667,88.24657842
2640000,86.56484398
2643333.333,98.13216444
2646666.667,101.2386923
2650000,103.1106411
2653333.333,113.6561961
2656666.667,110.6774064
2660000,113.83966
2663333.333,81.72102144
2666666.667,87.82486231
2670000,113.9295368
2673333.333,120.6596577
2676666.667,101.3933198
2680000,91.7401337
2683333.333,121.6542821
2686666.667,148.9843366
2690000,137.7785077
2693333.333,112.8655089
2696666.667,125.1438902
2700000,117.7046199
2703333.333,108.8747
2706666.667,120.3636748
2710000,132.6807031
2713333.333,130.0507598
2716666.667,134.6404696
2720000,123.1960144
2723333.333,99.30054738
2726666.667,87.84733658
2730000,113.7927614
2733333.333,98.78964473
2736666.667,114.1354629
2740000,109.7885678
2743333.333,107.2279096
2746666.667,94.00165375
2750000,80.48664596
2753333.333,92.78087579
2756666.667,134.5567984
2760000,96.32541133
2763333.333,89.77568185
2766666.667,99.49260526
2770000,108.4668718
2773333.333,123.4630544
2776666.667,127.6713783
2780000,149.8070248
2783333.333,132.0910028
2786666.667,137.4153417
2790000,89.48857283
2793333.333,109.3968101
2796666.667,121.7253458
2800000,124.453904
2803333.333,116.0935998
2806666.667,123.9919218
2810000,109.4106168
2813333.333,100.1242386
2816666.667,98.57681996
2820000,84.21074004
2823333.333,114.1958322
2826666.667,115.5157422
2830000,124.0338604
2833333.333,105.73649
2836666.667,108.7758469
2840000,105.4799864
2843333.333,80.69890633
2846666.667,110.1706343
2850000,150.4164885
2853333.333,110.814192
2856666.667,104.3168896
2860000,124.7559208
2863333.333,102.8042486
2866666.667,104.1040455
2870000,111.9290364
2873333.333,125.9311294
2876666.667,111.6552968
2880000,90.7916262
2883333.333,101.4383956
2886666.667,106.9831515
2890000,76.57867085
2893333.333,99.32191342
2896666.667,96.49233095
2900000,83.98155358
2903333.333,80.42541859
2906666.667,100.422325
2910000,99.96386327
2913333.333,95.84288604
2916666.667,109.9801473
2920000,113.8276677
2923333.333,107.9441206
2926666.667,98.59955773
2930000,110.4126209
2933333.333,103.3826317
