f,S_ML
47,55032.3372
47.2,36835.49083
47.4,68037.51186
47.6,64734.36742
47.8,79219.94382
48,47055.51461
48.2,49567.10019
48.4,65001.29277
48.6,24857.19493
48.8,35352.15065
49,8350.251948
49.2,38244.64564
49.4,16819022.77
49.6,81860049.15
49.8,24887629.25
50,94892.75521
50.2,190111.5603
50.4,178391.3003
50.6,52279.4785
50.8,24590.99817
51,124441.6678
51.2,99599.39105
51.4,41976.94453
51.6,12759.99278
51.8,31654.60407
52,22401.89408
52.2,35177.33416
52.4,58064.42424
52.6,35671.61173
52.8,35009.43061
53,57096.02723
53.2,40145.42674
53.4,19256.41045
53.6,57069.8062
53.8,65909.03288
54,49258.86037
54.2,47851.79175
54.4,33626.58207
54.6,30837.66743
54.8,104563.9467
55,69824.659
55.2,20421.31571
55.4,41522.62981
55.6,53311.4246
55.8,49242.48631
56,51199.44157
56.2,48828.51253
56.4,72394.80003
56.6,35207.46927
56.8,57662.58211
57,66347.40437
57.2,37778.02495
57.4,181384.7912
57.6,145643.3956
57.8,29885.7639
58,86838.98931
58.2,32742.33541
58.4,86172.41153
58.6,85142.17735
58.8,177907.6106
59,124067.1331
59.2,28940.0407
59.4,48985.91405
59.6,20397.53526
59.8,12394879.38
60,77390549.08
60.2,31434991.82
60.4,185173.8152
60.6,22021.46037
60.8,39954.06999
61,42751.58989
61.2,6702.438685
61.4,50457.09685
61.6,90441.19378
61.8,64658.14956
62,20634.96223
62.2,31671.92207
62.4,26200.09208
62.6,62096.73659
62.8,164862.3163
63,102897.5809
63.2,37290.29761
63.4,39169.62167
63.6,27968.07737
63.8,22169.74544
64,11960.44338
64.2,2028.20887
64.4,10827.90753
64.6,9543.283152
64.8,9314.475809
65,64703.52152
65.2,115661.2265
65.4,54017.55916
65.6,57893.07826
65.8,114597.9901
66,106830.9585
66.2,26538.21301
66.4,22844.52778
66.6,25264.3529
66.8,51921.17216
67,46134.08169
67.2,81059.33824
67.4,74801.19101
67.6,19660.6492
67.8,12840.23302
68,35646.78956
68.2,14453.63946
68.4,11417.82796
68.6,38541.68375
68.8,38878.09854
69,4486.592611
69.2,55406.08222
69.4,168128.2912
69.6,66654.99052
69.8,56497.48829
70,31026.03411
70.2,10953.56698
70.4,36848.55906
70.6,31033.91626
70.8,52129.92559
71,34180.10413
71.2,8972.01726
71.4,31530.68726
71.6,51907.19832
71.8,54299.70781
72,26473.45037
72.2,7092.981113
72.4,32066.93089
72.6,18757.15164
72.8,14471.05616
73,48418.48925
73.2,63128.10016
73.4,41023.52102
73.6,9263.321197
73.8,26646.94696
74,30389.74255
74.2,30349.39064
74.4,23710.97371
74.6,9772.546697
74.8,4762.204126
