f,S_rock
1420,2376.669946
1440,2345.133069
1460,2360.307986
1480,2690.764037
1500,2247.077496
1520,2587.555662
1540,2456.905531
1560,2474.833357
1580,1682.589864
1600,2521.431736
1620,2680.768156
1640,3029.596775
1660,2323.310565
1680,2750.572637
1700,2288.90672
1720,3525.561508
1740,3262.654073
1760,2153.567233
1780,2877.278351
1800,2349.640551
1820,1923.76425
1840,1791.68024
1860,1449.855187
1880,1399.032285
1900,2252.473147
1920,2446.806901
1940,2245.386937
1960,2481.521074
1980,2000.005765
2000,1644.733899
2020,1956.415065
2040,1774.020943
2060,2295.686808
2080,2096.80286
2100,2119.951679
2120,1869.669927
2140,2080.692098
2160,1799.394637
2180,1864.373536
2200,2512.615876
2220,2862.98717
2240,2323.934807
2260,2267.597923
2280,1485.806913
2300,1849.410673
2320,2096.809911
2340,2022.950499
2360,2241.77231
2380,2243.734813
2400,1653.411906
2420,1761.170671
2440,1781.817317
2460,1964.704473
2480,1981.321794
2500,1927.994924
2520,1626.343309
2540,1219.11309
2560,1477.599542
2580,1981.642828
2600,1354.646155
2620,1465.253438
2640,2029.200676
2660,2090.896249
2680,1549.01934
2700,1667.277622
2720,2192.707897
2740,1642.629184
2760,1768.796632
2780,1650.857521
2800,1846.034104
2820,2319.474504
2840,2261.515213
2860,2235.444262
2880,2815.936253
2900,2674.946091
2920,1809.586514
2940,1969.289639
2960,2073.175227
2980,1664.084106
3000,1839.867269
3020,1808.671866
3040,1924.83504
3060,1892.484733
3080,2009.547343
3100,1949.693432
3120,1493.669295
3140,1546.531523
3160,1748.102106
3180,1716.832292
3200,2159.731364
3220,1880.397729
3240,1320.651782
3260,1910.33428
3280,1734.8532
3300,1687.309578
3320,1442.948883
3340,1755.160274
3360,1624.268615
3380,1870.983
3400,1841.60865
3420,1955.058016
3440,1623.661478
3460,1600.00232
3480,2007.227
3500,3296.748636
3520,2612.050969
3540,3187.131797
3560,2159.498076
3580,1477.761992
3600,1482.93561
3620,1577.392588
3640,1664.687165
3660,1498.750103
3680,1283.013011
3700,1169.093479
3720,1406.217675
3740,1333.503486
3760,1364.450935
3780,1546.479928
3800,1392.505499
3820,941.4491277
3840,1188.767307
3860,1605.008473
3880,1841.10024
3900,2075.172109
3920,1218.497113
3940,1331.86977
3960,1563.538051
3980,1343.246762
4000,1051.915965
4020,1557.82509
4040,1564.620097
4060,1564.053163
4080,1126.795653
4100,1374.789207
4120,2114.387915
4140,1718.748269
4160,1464.593206
4180,1713.476979
4200,958.2677448
4220,1160.960266
4240,1409.756108
4260,1558.057336
4280,1251.231301
4300,1374.878938
4320,1312.432119
4340,981.1469929
4360,958.0870328
4380,810.2401139
4400,804.3993569
4420,1253.170832
4440,1193.920313
4460,1186.766259
4480,1398.307347
4500,1198.517604
4520,960.282546
4540,983.5394798
4560,1137.452587
4580,1055.09702
4600,1216.441262
4620,1226.078377
4640,984.3771965
4660,1549.191967
4680,1695.197895
4700,1559.507804
4720,1215.990477
4740,1063.188994
4760,1772.470625
4780,1454.07665
4800,1946.461543
4820,1562.446894
4840,1383.341639
4860,1296.305082
4880,1039.705459
4900,1244.194899
4920,1691.342694
4940,1801.393309
4960,1879.092712
4980,1348.50029
5000,1429.52895
5020,1331.998016
5040,791.6188525
5060,1112.1546
5080,1459.153287
5100,2029.238876
5120,2089.128752
5140,1791.557744
5160,1866.686196
5180,1599.718892
5200,1442.511544
5220,1816.750136
5240,1490.139109
5260,1296.093602
5280,1917.443679
5300,1608.834401
5320,1771.350249
5340,1500.604365
5360,1641.20999
5380,1515.409271
5400,1490.030176
5420,2639.49317
5440,2392.036188
5460,1362.696996
5480,1647.257894
5500,1176.558189
5520,1015.281549
5540,964.7713709
5560,733.5026472
5580,724.5214975
5600,569.082113
5620,756.8964431
5640,922.0895226
5660,771.5046761
5680,1181.983231
5700,1875.70638
5720,1536.506566
5740,3280.791737
5760,15901.88893
5780,15898.00066
5800,1604.703932
5820,1454.511468
5840,1833.50487
5860,1649.896824
5880,1452.308305
5900,1766.995366
5920,1613.280484
5940,1189.334753
5960,1237.510821
5980,1329.120359
6000,1157.271678
6020,1822.592349
6040,1445.611421
6060,2797.974015
6080,1669.009116
6100,1245.359821
6120,1622.927231
6140,1479.369906
6160,1849.482319
6180,1143.544919
6200,2014.856235
6220,1377.608145
6240,1293.891546
6260,1121.762293
6280,1394.878482
6300,1787.518069
6320,1866.034546
6340,1096.349248
6360,1327.686159
6380,2220.13052
6400,2413.981429
6420,1551.408872
6440,2999.510602
6460,1854.721613
6480,1787.451438
6500,1630.886194
6520,1524.577231
6540,1382.487144
6560,1196.258355
6580,2046.949318
6600,1809.728598
6620,1368.267646
6640,760.7655656
6660,952.2687468
6680,1083.821804
6700,1064.488372
6720,1132.18999
6740,1016.268792
6760,700.091646
6780,590.7604414
6800,756.4002125
6820,611.612617
6840,705.8592085
6860,869.3795548
6880,1219.557818
6900,1067.996583
6920,1085.829757
6940,952.6663737
6960,1278.644219
6980,1050.221621
7000,1017.834971
7020,1334.586951
7040,965.8101982
7060,1480.769891
7080,1198.071676
7100,1117.862313
7120,1025.033861
7140,1211.453111
7160,968.3619136
7180,720.2977285
7200,736.4924289
7220,706.7280903
7240,725.7928571
7260,716.3939174
7280,714.9390399
7300,906.0669501
7320,839.8737853
7340,690.346355
7360,629.339657
7380,836.5982966
7400,577.1257175
7420,692.053619
7440,604.4193731
7460,542.890233
7480,616.7198078
7500,759.4925283
7520,793.1889282
7540,850.5046578
7560,930.7143289
7580,920.3198567
7600,955.8889
7620,992.8678742
7640,977.4666467
7660,1217.703667
7680,1963.80983
7700,1270.898044
7720,1470.555299
7740,1168.483984
7760,781.0330763
7780,876.2312782
7800,1165.21618
7820,946.2042383
7840,998.7759661
7860,804.9909822
7880,659.7983885
7900,861.3810583
7920,755.0756562
7940,604.5782023
7960,1117.257633
7980,885.0064519
8000,1864.228373
8020,2369.55041
8040,2742.935947
8060,1798.805057
8080,634.7389965
8100,551.8052816
8120,706.8373562
8140,823.7974563
8160,768.3343127
8180,781.0310082
8200,1018.404082
8220,1137.304601
8240,926.3848542
8260,1569.206169
8280,1396.439844
8300,1237.599894
8320,3617.777453
8340,4860.717209
8360,2365.203413
8380,2437.516278
8400,2154.925488
8420,2659.158274
8440,1786.572412
8460,1955.299178
8480,1877.650264
8500,1567.3951
8520,1562.431952
8540,1322.21737
8560,1381.539244
8580,1017.0679
8600,1004.67648
8620,1185.569717
8640,1963.843687
8660,1168.821259
8680,1209.34945
8700,938.8938006
8720,527.0431331
8740,645.3061599
8760,650.9758815
8780,486.8600327
8800,632.764768
8820,1122.906897
8840,1087.828221
8860,655.4079753
8880,654.5179794
8900,622.7100514
8920,907.0422422
8940,860.9290211
8960,1269.704988
8980,1674.348439
9000,1288.869954
9020,832.1847758
9040,583.6846776
9060,772.3530207
9080,865.4467302
9100,808.6387409
9120,740.0138726
9140,1142.086344
9160,1254.297731
9180,1150.697471
9200,1298.885997
9220,1011.3749
9240,1157.086487
9260,1326.841164
9280,1918.208743
9300,1255.838165
9320,2926.083266
9340,1909.576819
9360,940.0076996
9380,688.064679
9400,1209.517144
9420,682.0792505
9440,909.5914592
9460,920.7891051
9480,1530.155023
9500,657.6069915
9520,978.6376012
9540,797.5528384
9560,1507.322388
9580,1419.122775
9600,847.2260065
9620,1202.516453
9640,881.1906757
9660,1293.826224
9680,844.9451358
9700,589.9900119
9720,793.4597726
9740,389.9276192
9760,552.6548382
9780,689.0363552
9800,968.0099952
9820,626.9869266
9840,816.3170694
9860,726.4654488
9880,727.4177954
9900,1694.714232
9920,1782.930442
9940,2099.817805
9960,1530.110977
9980,528.7988611
10000,548.9443287
10000,533.9637196
10200,719.1660775
10400,953.5968808
10600,1115.412711
10800,2754.735478
11000,4586.79577
11200,5459.792247
11400,3669.419671
11600,1663.175439
11800,543.4491109
12000,389.5224456
12200,404.8878011
12400,370.3894242
12600,464.8871135
12800,302.7564852
13000,438.8523052
13200,384.2891357
13400,606.3431489
13600,977.2084818
13800,2136.757281
14000,2670.950671
14200,4127.75372
14400,3150.657279
14600,2650.140259
14800,1916.064848
15000,1683.274547
15200,1458.653918
15400,936.5762321
15600,587.480741
15800,1881.376225
16000,3843.857525
16200,4873.32594
16400,3862.660784
16600,1957.663474
16800,1053.537149
17000,1122.228024
17200,1546.313586
17400,1396.618922
17600,756.3317872
17800,235.8956249
18000,543.6530167
18200,1315.990039
18400,2201.807344
18600,1809.698735
18800,1015.692311
19000,838.0998945
19200,599.387567
19400,193.9283234
19600,461.5916036
19800,1233.230167
20000,1660.605043
20200,1405.986237
20400,990.3160243
20600,601.0540161
20800,905.0484399
21000,1484.675028
21200,2503.055533
21400,2339.962899
21600,1370.71645
21800,242.5098574
