f (Hz),PNA floor (dBc/Hz),VCO free (dBc/Hz),VCO locked (dBc/Hz)
4.76E+01,-1.12E+02,-39.5568393,-104.86476
4.81E+01,-1.12E+02,-39.8349117,-105.138019
4.87E+01,-1.11E+02,-39.0765098,-104.796086
4.92E+01,-1.11E+02,-38.8620392,-104.101603
4.97E+01,-1.10E+02,-39.2644031,-103.961963
5.03E+01,-1.10E+02,-39.8476783,-104.14255
5.08E+01,-1.10E+02,-39.5703422,-104.467768
5.14E+01,-1.11E+02,-40.0063377,-104.830908
5.20E+01,-1.12E+02,-40.2497639,-105.051034
5.25E+01,-1.12E+02,-39.4182454,-105.294479
5.31E+01,-1.11E+02,-38.7158277,-105.70307
5.37E+01,-1.11E+02,-38.5078046,-105.495497
5.43E+01,-1.11E+02,-38.8122835,-106.067888
5.49E+01,-1.11E+02,-38.9332189,-106.527479
5.55E+01,-1.11E+02,-39.1404871,-106.717397
5.61E+01,-1.12E+02,-39.056772,-106.747864
5.67E+01,-1.11E+02,-40.5151284,-106.511835
5.73E+01,-1.11E+02,-39.3543463,-103.8351241
5.79E+01,-1.11E+02,-39.4597536,-103.2750873
5.86E+01,-1.11E+02,-40.0738561,-103.0587053
5.92E+01,-1.12E+02,-40.7119748,-102.8836953
5.99E+01,-1.12E+02,-40.5136452,-102.9157153
6.05E+01,-1.12E+02,-40.7655598,-102.8322083
6.12E+01,-1.13E+02,-40.9693375,-102.5683203
6.19E+01,-1.13E+02,-41.3514336,-102.3766823
6.25E+01,-1.12E+02,-41.3577988,-102.0521703
6.32E+01,-1.12E+02,-40.2494401,-101.8545903
6.39E+01,-1.13E+02,-41.4747981,-104.0197772
6.46E+01,-1.13E+02,-42.2702025,-104.754003
6.53E+01,-1.13E+02,-42.3287612,-104.51295
6.61E+01,-1.13E+02,-41.6602126,-104.069607
6.68E+01,-1.12E+02,-42.2552921,-103.5194861
6.75E+01,-1.12E+02,-42.3524928,-103.6914581
6.83E+01,-1.11E+02,-43.3057464,-103.6110451
6.90E+01,-1.12E+02,-42.5820937,-103.7507561
6.98E+01,-1.13E+02,-42.3413364,-104.5224751
7.05E+01,-1.13E+02,-42.5921771,-104.4607281
7.13E+01,-1.12E+02,-43.0470478,-103.9610871
7.21E+01,-1.11E+02,-42.6521462,-103.3211118
7.29E+01,-1.11E+02,-42.4961293,-103.5018248
7.37E+01,-1.11E+02,-43.4950215,-104.1288938
7.45E+01,-1.11E+02,-43.7301167,-104.3567137
7.53E+01,-1.10E+02,-44.426167,-104.3837457
7.61E+01,-1.11E+02,-44.2697808,-104.4378237
7.70E+01,-1.10E+02,-45.2401971,-104.3474507
7.78E+01,-1.10E+02,-45.8729054,-104.1876887
7.87E+01,-1.10E+02,-45.7883786,-104.6625657
7.95E+01,-1.10E+02,-45.4610066,-105.1665797
8.04E+01,-1.10E+02,-45.2294415,-105.868725
8.13E+01,-1.11E+02,-45.090749,-105.622683
8.22E+01,-1.12E+02,-45.1216767,-105.452321
8.31E+01,-1.13E+02,-44.9227437,-105.810899
8.40E+01,-1.12E+02,-44.2733247,-105.874051
8.49E+01,-1.12E+02,-44.1107404,-106.387423
8.58E+01,-1.12E+02,-43.8640046,-106.333363
8.68E+01,-1.12E+02,-43.8948346,-106.452305
8.77E+01,-1.12E+02,-44.3139062,-106.130281
8.87E+01,-1.12E+02,-44.7652737,-105.550628
8.97E+01,-1.12E+02,-44.9896347,-105.30397
9.06E+01,-1.11E+02,-45.6373428,-106.047207
9.16E+01,-1.11E+02,-45.8327118,-107.06542
9.26E+01,-1.10E+02,-45.758884,-107.747903
9.37E+01,-1.10E+02,-46.5321739,-107.901413
9.47E+01,-1.11E+02,-47.0803138,-107.484482
9.57E+01,-1.11E+02,-47.03227,-107.394477
9.68E+01,-1.11E+02,-47.3066761,-106.649896
9.78E+01,-1.11E+02,-47.8514999,-106.967451
9.89E+01,-1.11E+02,-48.1771542,-107.111126
1.00E+02,-1.12E+02,-48.938268,-107.366518
1.01E+02,-1.12E+02,-49.1718816,-106.779356
1.01E+02,-1.12E+02,-49.0735974,-105.588501
1.02E+02,-1.12E+02,-49.332742,-104.891529
1.03E+02,-1.12E+02,-49.0777233,-105.323848
1.04E+02,-1.11E+02,-49.4311371,-104.947776
1.04E+02,-1.11E+02,-50.2922272,-105.676667
1.05E+02,-1.11E+02,-50.2239063,-106.797148
1.06E+02,-1.11E+02,-49.8969765,-106.386897
1.07E+02,-1.12E+02,-50.096273,-106.698427
1.08E+02,-1.11E+02,-49.930207,-106.678199
1.08E+02,-1.10E+02,-49.5903602,-106.634762
1.09E+02,-1.11E+02,-50.8024654,-106.881958
1.10E+02,-1.12E+02,-51.9074527,-106.601832
1.11E+02,-1.12E+02,-52.2782268,-105.940917
1.12E+02,-1.12E+02,-51.4573055,-106.132083
1.12E+02,-1.13E+02,-50.4032154,-105.998012
1.13E+02,-1.14E+02,-49.7498055,-106.1554
1.14E+02,-1.13E+02,-49.6128506,-106.548752
1.15E+02,-1.13E+02,-50.0983075,-106.285819
1.16E+02,-1.15E+02,-50.862296,-105.856687
1.16E+02,-1.15E+02,-49.6246137,-105.3802988
1.17E+02,-1.14E+02,-48.975308,-105.0271418
1.18E+02,-1.14E+02,-47.7780958,-105.3521568
1.19E+02,-1.13E+02,-47.8979445,-105.9671878
1.20E+02,-1.13E+02,-48.0918577,-106.4030268
1.21E+02,-1.12E+02,-48.6445058,-106.3156908
1.22E+02,-1.12E+02,-49.5184895,-105.8995438
1.23E+02,-1.12E+02,-49.7939091,-106.2412178
1.23E+02,-1.11E+02,-49.5054653,-107.1000058
1.24E+02,-1.10E+02,-48.6328888,-107.4836028
1.25E+02,-1.10E+02,-50.1161018,-108.638819
1.26E+02,-1.11E+02,-49.7580096,-109.559787
1.27E+02,-1.11E+02,-50.8212115,-110.390678
1.28E+02,-1.13E+02,-50.5071856,-110.628973
1.29E+02,-1.13E+02,-51.1211791,-110.903829
1.30E+02,-1.14E+02,-51.5262393,-110.639098
1.31E+02,-1.14E+02,-51.9580062,-110.229754
1.32E+02,-1.15E+02,-52.1064441,-110.006861
1.33E+02,-1.15E+02,-52.4385944,-109.259808
1.34E+02,-1.15E+02,-52.4897929,-108.716037
1.35E+02,-1.16E+02,-53.4412467,-107.954313
1.36E+02,-1.16E+02,-54.0456005,-107.567445
1.37E+02,-1.16E+02,-53.5054981,-107.153436
1.38E+02,-1.15E+02,-54.7561367,-106.381184
1.39E+02,-1.15E+02,-54.6976936,-106.107458
1.40E+02,-1.15E+02,-54.9102932,-106.225504
1.41E+02,-1.15E+02,-55.423296,-106.759342
1.42E+02,-1.15E+02,-55.8168388,-106.337057
1.43E+02,-1.15E+02,-55.5284763,-106.711036
1.44E+02,-1.14E+02,-54.9728848,-107.349643
1.45E+02,-1.14E+02,-54.0274033,-107.240794
1.46E+02,-1.14E+02,-53.6305489,-106.60003
1.47E+02,-1.13E+02,-53.930312,-106.249392
1.48E+02,-1.13E+02,-52.8319096,-105.967087
1.49E+02,-1.13E+02,-53.0447545,-105.845189
1.50E+02,-1.13E+02,-52.8048413,-105.592164
1.51E+02,-1.12E+02,-51.8728551,-105.219421
1.52E+02,-1.13E+02,-51.3965948,-105.819046
1.54E+02,-1.12E+02,-51.299914,-106.188686
1.55E+02,-1.12E+02,-51.8767462,-106.460641
1.56E+02,-1.12E+02,-52.3596369,-107.525499
1.57E+02,-1.12E+02,-52.2031843,-107.692496
1.58E+02,-1.13E+02,-52.1576113,-107.819579
1.59E+02,-1.14E+02,-52.4545816,-107.877875
1.60E+02,-1.13E+02,-51.7436296,-107.430704
1.62E+02,-1.13E+02,-51.8270879,-107.505665
1.63E+02,-1.13E+02,-52.3480897,-107.195487
1.64E+02,-1.12E+02,-53.1817929,-107.649194
1.65E+02,-1.13E+02,-53.2819851,-107.565685
1.66E+02,-1.13E+02,-53.4197227,-106.860728
1.67E+02,-1.13E+02,-53.6636783,-106.183969
1.69E+02,-1.12E+02,-53.6936534,-106.398877
1.70E+02,-1.12E+02,-53.1446292,-106.264722
1.71E+02,-1.12E+02,-54.0850368,-106.40509
1.72E+02,-1.12E+02,-54.9015147,-107.119779
1.74E+02,-1.12E+02,-55.2896976,-107.790029
1.75E+02,-1.13E+02,-53.7480499,-106.2282454
1.76E+02,-1.13E+02,-54.0559341,-105.9228324
1.78E+02,-1.12E+02,-54.8767833,-105.3518374
1.79E+02,-1.12E+02,-55.5954139,-105.5183254
1.80E+02,-1.12E+02,-55.6908447,-105.3998804
1.81E+02,-1.12E+02,-56.4662869,-105.5397964
1.83E+02,-1.12E+02,-57.4551507,-105.6664734
1.84E+02,-1.11E+02,-56.9893094,-105.8745294
1.85E+02,-1.10E+02,-56.883579,-105.9153124
1.87E+02,-1.10E+02,-57.0585721,-105.5320464
1.88E+02,-1.10E+02,-59.0337201,-107.514698
1.89E+02,-1.10E+02,-58.8282811,-107.517785
1.91E+02,-1.11E+02,-58.352939,-107.879695
1.92E+02,-1.11E+02,-57.6374979,-108.724804
1.94E+02,-1.12E+02,-57.2148485,-109.024511
1.95E+02,-1.12E+02,-56.9457807,-109.064726
1.97E+02,-1.12E+02,-56.6523694,-109.340219
1.98E+02,-1.13E+02,-56.3642621,-109.526425
1.99E+02,-1.14E+02,-56.446182,-109.512645
2.01E+02,-1.14E+02,-56.4474554,-110.02039
2.02E+02,-1.13E+02,-56.3524271,-109.929285
2.04E+02,-1.13E+02,-56.140143,-110.095577
2.05E+02,-1.13E+02,-56.2973531,-109.663378
2.07E+02,-1.14E+02,-57.1502503,-109.282178
2.08E+02,-1.13E+02,-57.1375718,-109.773245
2.10E+02,-1.13E+02,-57.0901143,-109.54989
2.11E+02,-1.13E+02,-57.6218045,-109.193625
2.13E+02,-1.13E+02,-57.5276047,-108.741708
2.14E+02,-1.13E+02,-57.3950573,-108.814851
2.16E+02,-1.13E+02,-57.5112129,-108.396529
2.18E+02,-1.13E+02,-57.2304893,-108.70847
2.19E+02,-1.13E+02,-57.7369491,-108.489645
2.21E+02,-1.14E+02,-58.2038307,-109.153118
2.22E+02,-1.14E+02,-57.7861759,-108.832234
2.24E+02,-1.14E+02,-58.0964935,-108.588152
2.26E+02,-1.13E+02,-58.794585,-109.250117
2.27E+02,-1.13E+02,-58.5153629,-109.175102
2.29E+02,-1.14E+02,-58.5142784,-109.705931
2.31E+02,-1.14E+02,-59.0893528,-109.570203
