f (Hz),PNA floor (dBc/Hz),VCO free (dBc/Hz),VCO locked (dBc/Hz)
6.53E+02,-1.12E+02,-71.279129,-111.52645
6.56E+02,-1.12E+02,-70.7495209,-111.179432
6.59E+02,-1.12E+02,-71.478817,-110.865309
6.62E+02,-1.13E+02,-71.6123741,-111.116002
6.66E+02,-1.13E+02,-71.8020043,-110.757137
6.69E+02,-1.13E+02,-71.7658646,-111.299668
6.72E+02,-1.13E+02,-71.6631394,-111.268292
6.75E+02,-1.13E+02,-71.69786,-111.417614
6.79E+02,-1.13E+02,-72.1743996,-111.921222
6.82E+02,-1.13E+02,-71.2278618,-111.733159
6.85E+02,-1.13E+02,-71.8362038,-111.611274
6.88E+02,-1.13E+02,-72.5679649,-110.906917
6.92E+02,-1.13E+02,-71.8459983,-110.624167
6.95E+02,-1.13E+02,-71.9872741,-111.338116
6.99E+02,-1.13E+02,-72.3953101,-111.259438
7.02E+02,-1.13E+02,-72.2838638,-111.030409
7.05E+02,-1.12E+02,-72.0277824,-110.598409
7.09E+02,-1.12E+02,-71.969374,-110.488045
7.12E+02,-1.12E+02,-71.8171577,-109.81797
7.16E+02,-1.12E+02,-71.9696876,-109.742108
7.19E+02,-1.11E+02,-71.0691894,-109.825054
7.23E+02,-1.11E+02,-70.8915413,-110.151757
7.26E+02,-1.11E+02,-71.5276925,-110.704314
7.30E+02,-1.11E+02,-71.0619469,-109.994866
7.33E+02,-1.12E+02,-71.7558449,-110.007553
7.37E+02,-1.12E+02,-71.5292824,-110.187942
7.40E+02,-1.12E+02,-71.8835854,-110.386706
7.44E+02,-1.12E+02,-72.4348832,-110.133823
7.48E+02,-1.12E+02,-73.0789506,-110.039772
7.51E+02,-1.12E+02,-73.2314264,-109.729361
7.55E+02,-1.12E+02,-73.5004152,-109.499034
7.59E+02,-1.12E+02,-73.4741792,-109.921805
7.62E+02,-1.12E+02,-73.1659669,-109.860715
7.66E+02,-1.12E+02,-73.9961557,-110.157367
7.70E+02,-1.12E+02,-74.1477815,-110.60254
7.73E+02,-1.12E+02,-74.4491899,-110.184394
7.77E+02,-1.11E+02,-74.4811486,-110.255922
7.81E+02,-1.11E+02,-74.8050637,-110.962782
7.85E+02,-1.11E+02,-74.6247841,-111.14898
7.89E+02,-1.12E+02,-74.4450508,-111.422799
7.92E+02,-1.12E+02,-74.3943993,-112.294378
7.96E+02,-1.12E+02,-74.7157914,-112.914354
8.00E+02,-1.11E+02,-75.2763611,-112.311636
8.04E+02,-1.11E+02,-74.6457108,-111.618863
8.08E+02,-1.12E+02,-74.0370827,-111.276509
8.12E+02,-1.12E+02,-74.1366768,-111.461113
8.16E+02,-1.13E+02,-74.4736779,-111.306421
8.20E+02,-1.12E+02,-74.4818253,-110.936829
8.24E+02,-1.12E+02,-74.1194413,-110.876951
8.28E+02,-1.11E+02,-74.9838151,-111.117718
8.32E+02,-1.11E+02,-75.2886842,-110.966534
8.36E+02,-1.10E+02,-75.1826142,-110.731374
8.40E+02,-1.11E+02,-75.0439561,-111.466241
8.44E+02,-1.11E+02,-74.9788987,-112.036668
8.48E+02,-1.11E+02,-74.849386,-112.250089
8.52E+02,-1.11E+02,-75.1788316,-112.7292
8.56E+02,-1.11E+02,-75.1490037,-112.998537
8.60E+02,-1.11E+02,-75.0958337,-113.176934
8.65E+02,-1.11E+02,-75.2207826,-113.231574
8.69E+02,-1.11E+02,-74.9752534,-112.913929
8.73E+02,-1.11E+02,-74.9181092,-112.751548
8.77E+02,-1.12E+02,-74.6868081,-112.269939
8.82E+02,-1.11E+02,-74.6099191,-111.974734
8.86E+02,-1.11E+02,-74.681582,-111.983163
8.90E+02,-1.11E+02,-74.8508668,-111.823021
8.94E+02,-1.11E+02,-75.3342874,-111.453791
8.99E+02,-1.10E+02,-75.5706681,-111.09615
9.03E+02,-1.10E+02,-75.9316651,-110.678553
9.08E+02,-1.10E+02,-76.1892983,-110.559615
9.12E+02,-1.11E+02,-76.5232064,-110.390824
9.16E+02,-1.11E+02,-76.8022103,-110.970746
9.21E+02,-1.11E+02,-77.2901063,-111.071768
9.25E+02,-1.11E+02,-78.101912,-110.976114
9.30E+02,-1.12E+02,-78.4052163,-110.67906
9.34E+02,-1.12E+02,-78.7031052,-110.539243
9.39E+02,-1.12E+02,-77.811676,-110.600044
9.43E+02,-1.12E+02,-77.09702,-111.099268
9.48E+02,-1.12E+02,-77.0052895,-111.019289
9.53E+02,-1.13E+02,-77.1103287,-111.029061
9.57E+02,-1.12E+02,-76.8087891,-111.224468
9.62E+02,-1.12E+02,-76.3848374,-110.464355
9.67E+02,-1.12E+02,-76.4298684,-109.967187
9.71E+02,-1.12E+02,-75.6177109,-109.956062
9.76E+02,-1.12E+02,-75.3585289,-110.249966
9.81E+02,-1.12E+02,-75.0292465,-110.952807
9.86E+02,-1.12E+02,-75.5591759,-111.826055
9.90E+02,-1.13E+02,-76.4743981,-112.275685
9.95E+02,-1.13E+02,-76.769201,-112.636931
1.00E+03,-1.13E+02,-76.6491639,-111.764549
1.00E+03,-1.14E+02,-76.0699441,-111.263514
1.01E+03,-1.15E+02,-76.2662514,-111.267714
1.01E+03,-1.16E+02,-75.9302482,-111.856179
1.02E+03,-1.15E+02,-76.4845878,-112.514207
1.02E+03,-1.16E+02,-76.5654418,-112.951564
1.02E+03,-1.17E+02,-76.6827652,-112.586819
1.03E+03,-1.17E+02,-76.3086502,-111.571093
1.03E+03,-1.17E+02,-76.3855346,-111.103767
1.04E+03,-1.17E+02,-76.4027121,-111.538546
1.04E+03,-1.17E+02,-77.0668952,-112.541699
1.05E+03,-1.16E+02,-78.7346861,-113.334283
1.05E+03,-1.16E+02,-79.0624198,-113.660384
1.05E+03,-1.16E+02,-79.1962921,-114.369791
1.06E+03,-1.16E+02,-78.6124977,-114.771888
1.06E+03,-1.16E+02,-78.8929337,-115.784239
1.07E+03,-1.15E+02,-78.781488,-118.640816
1.07E+03,-1.15E+02,-78.81016,-119.02294
1.08E+03,-1.16E+02,-78.3686927,-118.750962
1.08E+03,-1.17E+02,-78.3951194,-118.291954
1.09E+03,-1.17E+02,-78.5331328,-118.461555
1.09E+03,-1.17E+02,-78.1072379,-118.289377
1.09E+03,-1.17E+02,-77.8376883,-118.390648
1.10E+03,-1.17E+02,-77.5913565,-118.131066
1.10E+03,-1.17E+02,-77.4631942,-118.365012
1.11E+03,-1.17E+02,-76.8789023,-117.793634
1.11E+03,-1.17E+02,-76.9421599,-115.506588
1.12E+03,-1.18E+02,-77.6402137,-115.210438
1.12E+03,-1.17E+02,-77.8130439,-115.893204
1.13E+03,-1.17E+02,-77.4748901,-116.074361
1.13E+03,-1.16E+02,-77.3847671,-115.539599
1.14E+03,-1.15E+02,-77.4298614,-115.401948
1.14E+03,-1.15E+02,-78.0865402,-115.904214
1.14E+03,-1.15E+02,-78.799855,-116.012108
1.15E+03,-1.16E+02,-79.744844,-115.520954
1.15E+03,-1.15E+02,-80.8071907,-114.354084
1.16E+03,-1.15E+02,-81.6759362,-113.451576
1.16E+03,-1.15E+02,-81.7552491,-113.339401
1.17E+03,-1.15E+02,-81.2270654,-112.3051
1.17E+03,-1.15E+02,-80.7770746,-111.68918
1.18E+03,-1.15E+02,-80.6792025,-111.683002
1.18E+03,-1.16E+02,-80.2225627,-111.320393
1.19E+03,-1.17E+02,-79.5897097,-110.088431
1.19E+03,-1.17E+02,-79.5232356,-109.540479
1.20E+03,-1.17E+02,-79.7728404,-109.009703
1.20E+03,-1.19E+02,-80.7160006,-110.355486
1.21E+03,-1.19E+02,-80.65217,-111.142676
1.21E+03,-1.18E+02,-80.6502329,-111.328529
1.22E+03,-1.18E+02,-81.1738741,-112.164722
1.22E+03,-1.18E+02,-81.5932336,-112.2351
1.23E+03,-1.18E+02,-81.2027482,-112.29811
1.23E+03,-1.18E+02,-81.0651444,-113.127391
1.24E+03,-1.17E+02,-81.1309281,-114.27164
1.24E+03,-1.18E+02,-80.9621239,-114.530503
1.25E+03,-1.19E+02,-80.7975662,-115.116267
1.25E+03,-1.17E+02,-79.2218231,-114.53298
1.26E+03,-1.16E+02,-79.7135261,-115.512451
1.26E+03,-1.16E+02,-79.5034347,-115.756393
1.27E+03,-1.16E+02,-80.0165717,-115.574909
1.27E+03,-1.16E+02,-80.0828498,-115.499206
1.28E+03,-1.17E+02,-80.9452109,-115.796208
1.28E+03,-1.16E+02,-81.4475485,-115.690522
1.29E+03,-1.16E+02,-81.8385001,-115.005056
1.29E+03,-1.16E+02,-82.3449217,-114.255457
1.30E+03,-1.15E+02,-82.1132109,-114.21828
1.31E+03,-1.15E+02,-82.8450652,-113.703451
1.31E+03,-1.15E+02,-82.1335151,-112.143296
1.32E+03,-1.16E+02,-82.1396171,-111.816517
1.32E+03,-1.16E+02,-81.927401,-111.69688
1.33E+03,-1.15E+02,-82.2849267,-111.865234
1.33E+03,-1.15E+02,-82.5483567,-112.554573
1.34E+03,-1.14E+02,-83.2990892,-112.93013
1.34E+03,-1.15E+02,-83.8136644,-112.701575
1.35E+03,-1.15E+02,-83.3298815,-113.285482
1.35E+03,-1.16E+02,-83.0416224,-112.464662
1.36E+03,-1.17E+02,-82.1516657,-112.693681
1.37E+03,-1.17E+02,-82.4459185,-112.784596
1.37E+03,-1.17E+02,-82.1001093,-112.804866
1.38E+03,-1.16E+02,-82.7116266,-113.209771
1.38E+03,-1.16E+02,-82.4699685,-113.298465
1.39E+03,-1.16E+02,-82.009295,-112.421283
1.39E+03,-1.17E+02,-81.1037637,-112.006868
1.40E+03,-1.17E+02,-79.7779877,-112.053865
1.41E+03,-1.17E+02,-80.028524,-112.337268
1.41E+03,-1.16E+02,-80.0845703,-112.852561
1.42E+03,-1.16E+02,-80.4561554,-112.297851
1.42E+03,-1.16E+02,-81.3122291,-112.395987
1.43E+03,-1.16E+02,-82.2655677,-111.963106
1.43E+03,-1.16E+02,-82.2171065,-111.508872
1.44E+03,-1.16E+02,-82.4354552,-112.274347
1.45E+03,-1.17E+02,-82.0840499,-112.435068
1.45E+03,-1.17E+02,-82.2456671,-112.475612
1.46E+03,-1.16E+02,-82.8588866,-112.777839
1.46E+03,-1.16E+02,-83.1279494,-112.272764
1.47E+03,-1.16E+02,-83.6398352,-112.44932
1.48E+03,-1.15E+02,-84.1181349,-112.623961
1.48E+03,-1.14E+02,-83.1577757,-112.55123
1.49E+03,-1.14E+02,-83.0744696,-113.548415
1.49E+03,-1.14E+02,-83.6084319,-113.553911
1.50E+03,-1.15E+02,-83.1871581,-113.426122
1.51E+03,-1.15E+02,-83.5742949,-113.418408
1.51E+03,-1.15E+02,-84.9202636,-113.826654
1.52E+03,-1.15E+02,-85.6600303,-113.625696
1.53E+03,-1.15E+02,-85.6331009,-113.22459
1.53E+03,-1.15E+02,-85.4224121,-112.691046
1.54E+03,-1.15E+02,-85.8858711,-113.19284
1.54E+03,-1.16E+02,-85.6792831,-113.408469
1.55E+03,-1.16E+02,-85.0621154,-113.378575
1.56E+03,-1.17E+02,-83.9667708,-113.726217
1.56E+03,-1.16E+02,-84.6804107,-113.392098
1.57E+03,-1.17E+02,-84.8554107,-113.93819
1.58E+03,-1.16E+02,-83.9174895,-113.969775
1.58E+03,-1.17E+02,-83.0735793,-113.845658
1.59E+03,-1.16E+02,-83.052088,-114.748657
1.60E+03,-1.16E+02,-84.2197173,-115.092744
1.60E+03,-1.15E+02,-83.9503013,-115.018863
1.61E+03,-1.15E+02,-84.2730987,-115.185665
1.62E+03,-1.15E+02,-84.7477844,-115.455396
1.62E+03,-1.14E+02,-85.633326,-114.964742
1.63E+03,-1.15E+02,-85.1807991,-114.847295
1.64E+03,-1.15E+02,-85.4817887,-114.319541
1.64E+03,-1.15E+02,-85.5466065,-113.872422
1.65E+03,-1.15E+02,-86.8101204,-114.601696
1.66E+03,-1.16E+02,-87.2009651,-114.561853
1.66E+03,-1.17E+02,-86.087075,-114.586406
1.67E+03,-1.18E+02,-86.1932945,-115.100161
1.68E+03,-1.17E+02,-85.9959946,-115.108156
1.68E+03,-1.17E+02,-86.6092308,-115.077647
1.69E+03,-1.16E+02,-85.6094337,-115.231684
1.70E+03,-1.15E+02,-85.6031608,-115.425242
1.70E+03,-1.15E+02,-84.9222495,-115.966211
1.71E+03,-1.15E+02,-84.6664046,-116.582002
1.72E+03,-1.15E+02,-84.1146048,-116.799156
1.72E+03,-1.14E+02,-84.2654967,-116.402947
1.73E+03,-1.14E+02,-84.3599188,-116.544241
1.74E+03,-1.14E+02,-83.8387236,-115.827997
1.75E+03,-1.15E+02,-84.1045988,-116.37756
1.75E+03,-1.15E+02,-83.4623045,-116.189784
1.76E+03,-1.15E+02,-83.6534346,-116.340376
1.77E+03,-1.15E+02,-84.4080809,-117.756046
1.77E+03,-1.15E+02,-84.5942412,-117.581827
1.78E+03,-1.15E+02,-84.6084174,-116.674976
1.79E+03,-1.15E+02,-84.7473159,-116.245666
1.80E+03,-1.16E+02,-84.1211898,-116.00586
1.80E+03,-1.16E+02,-84.3258636,-114.988835
1.81E+03,-1.15E+02,-85.5343558,-114.875751
1.82E+03,-1.14E+02,-85.5109885,-114.893964
1.83E+03,-1.15E+02,-86.4077407,-114.383359
1.83E+03,-1.16E+02,-86.3419921,-114.035804
1.84E+03,-1.16E+02,-86.8101135,-112.661
1.85E+03,-1.16E+02,-86.6527221,-113.257136
1.86E+03,-1.16E+02,-86.820536,-114.027718
1.86E+03,-1.15E+02,-86.6905075,-113.523433
1.87E+03,-1.14E+02,-86.8250992,-114.059045
1.88E+03,-1.14E+02,-87.076297,-114.795625
1.89E+03,-1.14E+02,-86.3621483,-115.57248
1.89E+03,-1.14E+02,-86.6507332,-114.888179
1.90E+03,-1.13E+02,-85.8399231,-115.51964
1.91E+03,-1.13E+02,-86.0071167,-116.920223
1.92E+03,-1.13E+02,-85.6256759,-117.076973
1.93E+03,-1.14E+02,-85.9008262,-116.410737
1.93E+03,-1.13E+02,-85.6463203,-116.286973
1.94E+03,-1.13E+02,-87.168029,-116.583301
1.95E+03,-1.14E+02,-86.9944725,-116.295064
1.96E+03,-1.15E+02,-87.0211937,-116.882796
1.97E+03,-1.15E+02,-87.0874344,-115.890385
1.97E+03,-1.15E+02,-86.4907311,-115.6046
1.98E+03,-1.15E+02,-86.6218766,-115.44966
1.99E+03,-1.15E+02,-86.5752869,-114.464477
2.00E+03,-1.15E+02,-86.3859002,-114.245248
2.01E+03,-1.15E+02,-86.1195329,-114.22405
2.01E+03,-1.16E+02,-86.1599168,-113.901564
2.02E+03,-1.16E+02,-85.2201424,-113.43317
2.03E+03,-1.16E+02,-85.8759354,-113.989456
2.04E+03,-1.15E+02,-85.8545899,-113.350045
2.05E+03,-1.15E+02,-85.4647568,-113.32583
2.06E+03,-1.15E+02,-85.5873871,-113.087301
2.07E+03,-1.16E+02,-85.6809379,-113.024669
2.07E+03,-1.15E+02,-86.2463806,-112.897529
2.08E+03,-1.15E+02,-86.3000366,-112.487442
2.09E+03,-1.15E+02,-87.0297416,-112.012929
2.10E+03,-1.15E+02,-87.4974815,-111.931529
2.11E+03,-1.15E+02,-87.5201187,-112.0306
2.12E+03,-1.16E+02,-87.0741546,-112.357295
2.13E+03,-1.16E+02,-86.7923011,-113.14144
2.13E+03,-1.16E+02,-88.3853767,-114.206928
2.14E+03,-1.15E+02,-88.9666213,-114.721271
2.15E+03,-1.15E+02,-89.1207847,-114.875471
2.16E+03,-1.16E+02,-88.8957076,-115.439211
2.17E+03,-1.15E+02,-89.0469596,-116.781055
2.18E+03,-1.15E+02,-88.3041984,-117.657653
2.19E+03,-1.14E+02,-87.690058,-117.604599
2.20E+03,-1.14E+02,-87.6961043,-118.165728
2.21E+03,-1.14E+02,-88.0041488,-117.926133
2.21E+03,-1.14E+02,-88.3222953,-117.00891
2.22E+03,-1.14E+02,-87.3276191,-116.200998
2.23E+03,-1.15E+02,-86.9696182,-115.762905
2.24E+03,-1.15E+02,-86.5769348,-115.026084
2.25E+03,-1.14E+02,-86.4754738,-114.206005
2.26E+03,-1.15E+02,-86.4994369,-113.16442
2.27E+03,-1.16E+02,-87.3475624,-112.934264
2.28E+03,-1.16E+02,-87.6568894,-113.357143
2.29E+03,-1.15E+02,-87.4335946,-113.450779
2.30E+03,-1.15E+02,-87.9216584,-112.768612
2.31E+03,-1.15E+02,-88.0887872,-112.417787
2.32E+03,-1.16E+02,-87.7985879,-112.015718
2.33E+03,-1.16E+02,-87.8504144,-112.025226
2.34E+03,-1.17E+02,-87.7310098,-112.225432
2.34E+03,-1.17E+02,-88.2400728,-112.265553
2.35E+03,-1.16E+02,-88.5454042,-112.640418
2.36E+03,-1.16E+02,-88.0496095,-112.627607
2.37E+03,-1.16E+02,-88.3471704,-112.023642
2.38E+03,-1.17E+02,-88.9152749,-111.892157
2.39E+03,-1.16E+02,-88.6349549,-112.030176
2.40E+03,-1.16E+02,-88.9557328,-112.726295
2.41E+03,-1.15E+02,-89.5074212,-112.869014
2.42E+03,-1.15E+02,-89.2416146,-113.306178
2.43E+03,-1.14E+02,-90.2669587,-113.144744
2.44E+03,-1.14E+02,-90.3599717,-113.459753
2.45E+03,-1.14E+02,-89.763685,-113.212003
2.46E+03,-1.15E+02,-90.464718,-113.381475
2.47E+03,-1.15E+02,-90.4854928,-113.293961
2.48E+03,-1.15E+02,-89.8505998,-113.319574
2.49E+03,-1.15E+02,-89.6871934,-113.023338
2.50E+03,-1.15E+02,-88.8737229,-112.934369
2.51E+03,-1.15E+02,-89.0002282,-113.180681
2.52E+03,-1.15E+02,-89.3287865,-112.842234
2.53E+03,-1.15E+02,-88.5695976,-113.270291
2.55E+03,-1.16E+02,-88.5197234,-113.197152
2.56E+03,-1.15E+02,-88.9019553,-112.67996
2.57E+03,-1.15E+02,-88.7217391,-112.207436
2.58E+03,-1.15E+02,-89.6315131,-112.6281
2.59E+03,-1.16E+02,-89.9756186,-112.248223
2.60E+03,-1.16E+02,-90.1481238,-113.079715
2.61E+03,-1.16E+02,-90.1109008,-112.750298
2.62E+03,-1.17E+02,-90.0066115,-112.737933
2.63E+03,-1.17E+02,-89.9834663,-112.44985
2.64E+03,-1.17E+02,-89.8140922,-112.698595
2.65E+03,-1.17E+02,-89.5933288,-113.146125
2.66E+03,-1.16E+02,-89.6131568,-114.095421
2.67E+03,-1.16E+02,-89.1095984,-114.49811
2.68E+03,-1.15E+02,-87.8956931,-114.522542
2.70E+03,-1.14E+02,-87.6415626,-114.902556
2.71E+03,-1.14E+02,-88.3084091,-114.112695
2.72E+03,-1.14E+02,-88.4800041,-114.619658
2.73E+03,-1.14E+02,-88.6753731,-114.786286
2.74E+03,-1.13E+02,-89.6709694,-115.370674
2.75E+03,-1.13E+02,-90.5587975,-114.645718
2.76E+03,-1.13E+02,-90.6996156,-113.831334
2.77E+03,-1.13E+02,-90.1824411,-113.675725
2.79E+03,-1.14E+02,-90.2743731,-113.59015
2.80E+03,-1.14E+02,-91.2065974,-113.739639
2.81E+03,-1.14E+02,-91.9942378,-113.251669
2.82E+03,-1.14E+02,-91.417541,-113.080384
2.83E+03,-1.15E+02,-91.2717272,-113.161538
2.84E+03,-1.16E+02,-90.4193956,-113.615907
2.85E+03,-1.15E+02,-90.3753,-113.687727
2.87E+03,-1.15E+02,-89.9376612,-114.320334
2.88E+03,-1.16E+02,-89.8219271,-114.318491
2.89E+03,-1.16E+02,-90.1298433,-113.712298
2.90E+03,-1.15E+02,-90.7962487,-113.190596
2.91E+03,-1.15E+02,-90.945726,-112.474835
2.93E+03,-1.15E+02,-90.5171356,-113.009899
2.94E+03,-1.16E+02,-90.165078,-113.017889
2.95E+03,-1.15E+02,-90.5004372,-112.637566
2.96E+03,-1.15E+02,-90.8744965,-112.198416
2.97E+03,-1.16E+02,-90.123365,-111.839439
2.99E+03,-1.16E+02,-90.2576804,-111.94176
3.00E+03,-1.15E+02,-90.6001616,-112.581472
3.01E+03,-1.15E+02,-91.0159385,-113.544078
3.02E+03,-1.15E+02,-90.5469284,-114.245727
3.04E+03,-1.15E+02,-89.7239029,-114.981107
3.05E+03,-1.16E+02,-89.6543274,-115.862228
3.06E+03,-1.17E+02,-89.9813881,-116.733044
3.07E+03,-1.17E+02,-91.3569942,-117.019516
3.09E+03,-1.17E+02,-91.8322857,-117.940404
3.10E+03,-1.17E+02,-93.2962357,-118.611449
3.11E+03,-1.18E+02,-93.2494225,-118.293709
3.12E+03,-1.18E+02,-92.7079781,-118.864025
3.14E+03,-1.19E+02,-92.545388,-118.846706
3.15E+03,-1.20E+02,-92.9724845,-118.74117
3.16E+03,-1.20E+02,-94.0125892,-119.205578
3.18E+03,-1.20E+02,-95.3558738,-118.128511
3.19E+03,-1.20E+02,-96.1035636,-117.499304
3.20E+03,-1.20E+02,-94.9106723,-117.016739
3.21E+03,-1.21E+02,-94.3996585,-116.18094
3.23E+03,-1.21E+02,-92.7802962,-116.422757
3.24E+03,-1.20E+02,-92.3514938,-116.873933
3.25E+03,-1.20E+02,-92.9880493,-116.425403
3.27E+03,-1.19E+02,-93.0598702,-115.755776
3.28E+03,-1.18E+02,-93.2456971,-115.726361
3.29E+03,-1.17E+02,-92.4256127,-116.582743
3.31E+03,-1.15E+02,-90.628904,-116.832979
3.32E+03,-1.16E+02,-89.7889427,-116.54027
3.34E+03,-1.16E+02,-90.0048523,-116.205364
3.35E+03,-1.15E+02,-91.1591217,-116.147147
3.36E+03,-1.14E+02,-91.8958946,-116.080173
3.38E+03,-1.15E+02,-92.4669814,-115.6936
3.39E+03,-1.15E+02,-92.2738921,-116.422155
3.40E+03,-1.15E+02,-92.8114714,-116.8066
3.42E+03,-1.15E+02,-92.7350813,-116.698175
3.43E+03,-1.16E+02,-93.526515,-115.444613
3.45E+03,-1.16E+02,-94.1377836,-114.894435
3.46E+03,-1.14E+02,-94.3781561,-115.287249
3.47E+03,-1.14E+02,-95.0472426,-115.936598
3.49E+03,-1.14E+02,-94.7743552,-116.293623
3.50E+03,-1.14E+02,-94.1849494,-115.907081
3.52E+03,-1.14E+02,-94.0585739,-115.75903
3.53E+03,-1.14E+02,-94.1075767,-114.980019
3.55E+03,-1.14E+02,-93.5798408,-114.326098
3.56E+03,-1.14E+02,-93.3206337,-113.718631
3.58E+03,-1.15E+02,-92.2634842,-113.716078
3.59E+03,-1.16E+02,-91.499408,-113.792629
3.61E+03,-1.17E+02,-91.2098275,-113.761429
3.62E+03,-1.17E+02,-90.5563592,-114.925102
3.63E+03,-1.17E+02,-90.1286103,-115.829242
3.65E+03,-1.17E+02,-90.6474809,-116.598206
3.66E+03,-1.19E+02,-91.6039587,-117.579734
3.68E+03,-1.19E+02,-91.8323904,-117.508522
3.70E+03,-1.20E+02,-91.9950972,-117.602492
3.71E+03,-1.19E+02,-93.0008853,-117.671881
3.73E+03,-1.18E+02,-94.0882518,-117.827293
3.74E+03,-1.17E+02,-94.5996722,-118.326641
3.76E+03,-1.16E+02,-94.3768191,-119.221872
3.77E+03,-1.15E+02,-94.0218416,-118.084942
3.79E+03,-1.16E+02,-95.1628459,-116.964806
3.80E+03,-1.16E+02,-97.2675755,-115.792495
3.82E+03,-1.15E+02,-96.8523338,-115.830671
3.83E+03,-1.14E+02,-97.1283401,-116.253511
3.85E+03,-1.15E+02,-97.4537109,-116.658886
3.87E+03,-1.15E+02,-96.6347033,-117.378881
3.88E+03,-1.16E+02,-95.7360919,-117.440533
3.90E+03,-1.17E+02,-95.6396091,-116.866873
3.91E+03,-1.17E+02,-96.116447,-115.457833
3.93E+03,-1.18E+02,-96.207027,-115.340888
3.95E+03,-1.18E+02,-95.2526041,-115.180678
3.96E+03,-1.18E+02,-93.0738098,-114.977904
3.98E+03,-1.19E+02,-92.927272,-113.699639
3.99E+03,-1.20E+02,-93.1222,-113.689855
4.01E+03,-1.20E+02,-93.8233638,-113.552169
4.03E+03,-1.20E+02,-94.0225421,-112.622358
4.04E+03,-1.19E+02,-94.7936846,-112.529418
4.06E+03,-1.18E+02,-94.6988451,-113.368349
4.08E+03,-1.17E+02,-94.5272501,-114.519431
4.09E+03,-1.16E+02,-94.9482218,-114.231472
4.11E+03,-1.15E+02,-94.7695811,-114.008494
4.13E+03,-1.15E+02,-95.3651073,-115.192559
4.14E+03,-1.14E+02,-96.7997138,-115.554685
4.16E+03,-1.14E+02,-97.3041298,-114.710749
4.18E+03,-1.13E+02,-96.4547505,-115.348306
4.20E+03,-1.13E+02,-95.7380178,-115.707091
4.21E+03,-1.12E+02,-94.8705801,-114.889776
4.23E+03,-1.12E+02,-95.6550245,-113.81155
4.25E+03,-1.14E+02,-95.8915655,-113.584192
4.26E+03,-1.14E+02,-95.5287947,-114.469652
4.28E+03,-1.15E+02,-95.2858778,-115.487095
4.30E+03,-1.15E+02,-94.8132444,-115.393686
4.32E+03,-1.14E+02,-93.8160166,-116.151832
4.34E+03,-1.14E+02,-92.9562036,-116.226426
4.35E+03,-1.14E+02,-92.7020059,-114.832122
4.37E+03,-1.15E+02,-93.9493989,-114.470051
4.39E+03,-1.16E+02,-94.7312486,-115.264471
4.41E+03,-1.16E+02,-94.3474428,-115.079069
4.42E+03,-1.15E+02,-94.2223734,-114.12337
4.44E+03,-1.16E+02,-94.7741113,-113.212369
4.46E+03,-1.16E+02,-95.6278367,-111.936497
4.48E+03,-1.17E+02,-95.5013009,-111.389572
4.50E+03,-1.18E+02,-95.5136933,-110.954681
4.52E+03,-1.19E+02,-95.2933892,-110.641807
4.54E+03,-1.19E+02,-95.6714119,-110.995182
4.55E+03,-1.19E+02,-95.5198059,-112.136416
4.57E+03,-1.18E+02,-96.2367779,-111.646261
4.59E+03,-1.18E+02,-96.190424,-112.808338
4.61E+03,-1.18E+02,-96.2674831,-113.990326
4.63E+03,-1.18E+02,-96.5163486,-115.869812
4.65E+03,-1.18E+02,-96.2319454,-116.868046
4.67E+03,-1.16E+02,-97.1424467,-116.757332
4.69E+03,-1.15E+02,-97.1502905,-116.079898
4.71E+03,-1.15E+02,-97.28384,-116.389512
4.72E+03,-1.15E+02,-98.1687363,-116.548418
4.74E+03,-1.15E+02,-98.0060219,-116.527811
4.76E+03,-1.15E+02,-97.3448268,-116.197199
4.78E+03,-1.15E+02,-98.01449,-115.293687
4.80E+03,-1.15E+02,-98.3693484,-114.81057
4.82E+03,-1.15E+02,-97.7970409,-113.054317
4.84E+03,-1.15E+02,-98.8125202,-112.044218
4.86E+03,-1.15E+02,-98.1947176,-112.033301
4.88E+03,-1.16E+02,-97.4551195,-112.841375
4.90E+03,-1.16E+02,-97.5197366,-112.996208
4.92E+03,-1.15E+02,-96.3658782,-113.767111
4.94E+03,-1.16E+02,-96.0847564,-113.311331
4.96E+03,-1.17E+02,-96.3169929,-113.879391
4.98E+03,-1.18E+02,-96.3048339,-114.07272
5.00E+03,-1.18E+02,-96.4060218,-114.390345
5.02E+03,-1.17E+02,-97.363966,-114.794531
5.04E+03,-1.17E+02,-96.980742,-115.475066
5.07E+03,-1.18E+02,-97.2191987,-114.985806
5.09E+03,-1.18E+02,-97.5028756,-114.082042
5.11E+03,-1.18E+02,-97.9478113,-113.800275
5.13E+03,-1.17E+02,-98.7678687,-113.462318
5.15E+03,-1.18E+02,-99.2875789,-113.206008
5.17E+03,-1.17E+02,-98.3965625,-113.040784
5.19E+03,-1.17E+02,-97.7580104,-114.019316
5.21E+03,-1.17E+02,-98.5874441,-113.790567
5.23E+03,-1.17E+02,-98.5493421,-113.37445
5.26E+03,-1.17E+02,-98.1481797,-113.600556
5.28E+03,-1.17E+02,-97.9102097,-114.06858
5.30E+03,-1.17E+02,-98.5044605,-114.216824
5.32E+03,-1.16E+02,-98.3253871,-113.877696
5.34E+03,-1.17E+02,-97.768965,-112.823609
5.36E+03,-1.15E+02,-97.6092409,-112.693974
